method,actions,budget_fraction,mean_f1_pp
DPA,178,0.049444444444444444,42.09833333333333
DPA,179,0.04972222222222222,42.05666666666667
DPA,180,0.05,42.05666666666667
DPA,181,0.050277777777777775,42.08833333333333
DPA,182,0.050555555555555555,42.08833333333333
DPA,183,0.050833333333333335,42.143888888888895
DPA,184,0.051111111111111114,42.199444444444445
DPA,185,0.05138888888888889,42.15388888888889
DPA,186,0.051666666666666666,42.16777777777778
DPA,187,0.051944444444444446,42.16777777777778
DPA,188,0.052222222222222225,42.16777777777778
DPA,189,0.0525,42.16777777777778
DPA,190,0.05277777777777778,42.16777777777778
DPA,191,0.05305555555555556,42.16777777777778
DPA,192,0.05333333333333334,42.223333333333336
DPA,193,0.05361111111111111,42.223333333333336
DPA,194,0.05388888888888889,42.223333333333336
DPA,195,0.05416666666666667,42.223333333333336
DPA,196,0.05444444444444444,42.16777777777778
DPA,197,0.05472222222222222,42.16555555555556
DPA,198,0.055,42.193333333333335
DPA,199,0.05527777777777778,42.193333333333335
DPA,200,0.05555555555555555,42.205555555555556
DPA,201,0.05583333333333333,42.205555555555556
DPA,202,0.05611111111111111,42.205555555555556
DPA,203,0.05638888888888889,42.205555555555556
DPA,204,0.056666666666666664,42.26111111111111
DPA,205,0.05694444444444444,42.263333333333335
DPA,206,0.05722222222222222,42.27444444444445
DPA,207,0.0575,42.27444444444445
DPA,208,0.057777777777777775,42.27444444444445
DPA,209,0.058055555555555555,42.27444444444445
DPA,210,0.058333333333333334,42.27444444444445
DPA,211,0.058611111111111114,42.27444444444445
DPA,212,0.058888888888888886,42.27444444444445
DPA,213,0.059166666666666666,42.33
DPA,214,0.059444444444444446,42.33
DPA,215,0.059722222222222225,42.33
DPA,216,0.06,42.29222222222223
DPA,217,0.06027777777777778,42.34777777777778
DPA,218,0.06055555555555556,42.40333333333333
DPA,219,0.060833333333333336,42.40333333333333
DPA,220,0.06111111111111111,42.40333333333333
DPA,221,0.06138888888888889,42.40333333333333
DPA,222,0.06166666666666667,42.45888888888889
DPA,223,0.06194444444444445,42.45888888888889
DPA,224,0.06222222222222222,42.45888888888889
DPA,225,0.0625,42.45888888888889
DPA,226,0.06277777777777778,42.45888888888889
DPA,227,0.06305555555555556,42.50222222222222
DPA,228,0.06333333333333334,42.50222222222222
DPA,229,0.0636111111111111,42.50222222222222
DPA,230,0.06388888888888888,42.50222222222222
DPA,231,0.06416666666666666,42.53
DPA,232,0.06444444444444444,42.53
DPA,233,0.06472222222222222,42.53
DPA,234,0.065,42.53
DPA,235,0.06527777777777778,42.53
DPA,236,0.06555555555555556,42.56722222222222
DPA,237,0.06583333333333333,42.62277777777778
DPA,238,0.0661111111111111,42.678333333333335
DPA,239,0.06638888888888889,42.733888888888885
DPA,240,0.06666666666666667,42.72
DPA,241,0.06694444444444445,42.72
DPA,242,0.06722222222222222,42.72
DPA,243,0.0675,42.72
DPA,244,0.06777777777777778,42.775555555555556
DPA,245,0.06805555555555555,42.733888888888885
DPA,246,0.06833333333333333,42.78944444444445
DPA,247,0.06861111111111111,42.78944444444445
DPA,248,0.06888888888888889,42.78944444444445
DPA,249,0.06916666666666667,42.78944444444445
DPA,250,0.06944444444444445,42.78944444444445
DPA,251,0.06972222222222223,42.78944444444445
DPA,252,0.07,42.78944444444445
DPA,253,0.07027777777777777,42.78944444444445
DPA,254,0.07055555555555555,42.78944444444445
DPA,255,0.07083333333333333,42.78944444444445
DPA,256,0.07111111111111111,42.845
DPA,257,0.07138888888888889,42.845
DPA,258,0.07166666666666667,42.900555555555556
DPA,259,0.07194444444444445,42.900555555555556
DPA,260,0.07222222222222222,42.900555555555556
DPA,261,0.0725,42.900555555555556
DPA,262,0.07277777777777777,42.900555555555556
DPA,263,0.07305555555555555,42.900555555555556
DPA,264,0.07333333333333333,42.95611111111111
DPA,265,0.07361111111111111,42.95611111111111
DPA,266,0.07388888888888889,42.95611111111111
DPA,267,0.07416666666666667,42.95611111111111
DPA,268,0.07444444444444444,42.95611111111111
DPA,269,0.07472222222222222,42.95611111111111
DPA,270,0.075,42.95611111111111
DPA,271,0.07527777777777778,42.95611111111111
DPA,272,0.07555555555555556,42.965555555555554
DPA,273,0.07583333333333334,42.965555555555554
DPA,274,0.07611111111111112,42.99333333333333
DPA,275,0.0763888888888889,42.99333333333333
DPA,276,0.07666666666666666,42.99333333333333
DPA,277,0.07694444444444444,43.04888888888889
DPA,278,0.07722222222222222,43.04888888888889
DPA,279,0.0775,43.01555555555556
DPA,280,0.07777777777777778,43.01555555555556
DPA,281,0.07805555555555556,43.059999999999995
DPA,282,0.07833333333333334,43.09722222222223
DPA,283,0.07861111111111112,43.09722222222223
DPA,284,0.07888888888888888,43.15277777777778
DPA,285,0.07916666666666666,43.15277777777778
DPA,286,0.07944444444444444,43.154444444444444
DPA,287,0.07972222222222222,43.154444444444444
DPA,288,0.08,43.154444444444444
DPA,289,0.08027777777777778,43.154444444444444
DPA,290,0.08055555555555556,43.159444444444446
DPA,291,0.08083333333333333,43.159444444444446
DPA,292,0.0811111111111111,43.159444444444446
DPA,293,0.08138888888888889,43.159444444444446
DPA,294,0.08166666666666667,43.16388888888889
DPA,295,0.08194444444444444,43.16388888888889
DPA,296,0.08222222222222222,43.16388888888889
DPA,297,0.0825,43.16388888888889
DPA,298,0.08277777777777778,43.16388888888889
DPA,299,0.08305555555555555,43.16388888888889
DPA,300,0.08333333333333333,43.16388888888889
DPA,301,0.08361111111111111,43.16388888888889
DPA,302,0.08388888888888889,43.16388888888889
DPA,303,0.08416666666666667,43.16388888888889
DPA,304,0.08444444444444445,43.21944444444444
DPA,305,0.08472222222222223,43.21944444444444
DPA,306,0.085,43.275000000000006
DPA,307,0.08527777777777777,43.285000000000004
DPA,308,0.08555555555555555,43.285000000000004
DPA,309,0.08583333333333333,43.285000000000004
DPA,310,0.08611111111111111,43.285000000000004
DPA,311,0.08638888888888889,43.285000000000004
DPA,312,0.08666666666666667,43.24
DPA,313,0.08694444444444445,43.29555555555555
DPA,314,0.08722222222222223,43.29555555555555
DPA,315,0.0875,43.24
DPA,316,0.08777777777777777,43.27722222222222
DPA,317,0.08805555555555555,43.31444444444445
DPA,318,0.08833333333333333,43.31444444444445
DPA,319,0.08861111111111111,43.29611111111112
DPA,320,0.08888888888888889,43.32388888888889
DPA,321,0.08916666666666667,43.32388888888889
DPA,322,0.08944444444444444,43.32888888888889
DPA,323,0.08972222222222222,43.32888888888889
DPA,324,0.09,43.32888888888889
DPA,325,0.09027777777777778,43.32888888888889
DPA,326,0.09055555555555556,43.32888888888889
DPA,327,0.09083333333333334,43.35666666666667
DPA,328,0.09111111111111111,43.35666666666667
DPA,329,0.0913888888888889,43.35666666666667
DPA,330,0.09166666666666666,43.412222222222226
DPA,331,0.09194444444444444,43.412222222222226
DPA,332,0.09222222222222222,43.412222222222226
DPA,333,0.0925,43.43333333333334
DPA,334,0.09277777777777778,43.393888888888895
DPA,335,0.09305555555555556,43.449444444444445
DPA,336,0.09333333333333334,43.486666666666665
DPA,337,0.09361111111111112,43.54222222222223
DPA,338,0.09388888888888888,43.59777777777778
DPA,339,0.09416666666666666,43.653333333333336
DPA,340,0.09444444444444444,43.657222222222224
DPA,341,0.09472222222222222,43.657222222222224
DPA,342,0.095,43.657222222222224
DPA,343,0.09527777777777778,43.71277777777778
