replicate,sample_sha256,IDR_AUBPC,DPA_AUBPC,IDR_minus_DPA_pp
84,a66564eb3ef89643d9cabd4957f46d946731ce3919179e60ab4a3b53fc239bbe,55.92752654320987,48.13954043209876,7.78798611111111
85,eeabed05dda2973daedb62144424065ee80114544ae2ae09483c573f2466e2e8,56.62818148148148,48.73976558641976,7.888415895061719
86,36fe8a99e2b897fe787a4b336c904ba0d74ac9e0ac3a764a0fc8af0fd114b5cb,54.149348302469136,46.5637200617284,7.585628240740739
87,3a0eecd7d3b388d009e09896f1a94dfa3111e7838328f97a56f14c5952d072a3,56.02874861111112,48.686572376543204,7.342176234567916
88,eb5efca6c82367dc22683cbab864f172de310d602eef5f29d5364bd6bb06521d,55.14858858024692,48.01252839506173,7.136060185185194
89,651ae3b393aeb3ed41b5b6d116e0d36f0aa540a8dc4fc928c242b8f72403d47d,55.8338111111111,48.20663225308642,7.627178858024685
90,30ef55859dd87a371f5f8674e40a0a5ec817ad55ce824efd892b88a11cca391e,54.21336990740741,46.41271095679013,7.800658950617283
91,43256bf0b45e02d47307967c43d74c4d2bd28c0abf6eb30d581f782491f02db2,56.372406790123456,48.95641018518519,7.415996604938265
92,946ee5b0911954e5d2a0377b93cd09b7d43526e417dd5c5fc2585520f04ee2e2,55.57844197530865,48.393561419753084,7.184880555555566
93,9e4451e99e2131a3ef35bed6b33937b14afd48e9f2d334402468d8f0ec0731c1,57.62352206790125,50.21244104938272,7.41108101851853
94,fd5b87cc4d4a397652167fa14955dab574c1cd121451e95c0390e2ad0cff1f25,56.17089243827159,49.18949351851852,6.981398919753076
95,13a725b69cb824c04bbc429ef785dc36385314aac22e89fa9b259f66c078099f,56.00392947530864,48.021508487654316,7.982420987654322
96,ba2ab3cf4ea5cd146ec315a93c7dda9e395d5b2a73c4b5e0529e1ddf08206e55,55.2996037037037,47.907281172839504,7.392322530864199
97,0a5e0f8893c8857935c8b0eb87d6d5095a9430ab8e0ba0271a5a90b471813f31,56.14940740740741,49.39865694444445,6.750750462962962
98,8e17d847f2682cacb2e644950826925c01b17ef623f6623228f850e467bfc468,56.657967438271605,48.98722901234567,7.670738425925933
99,b78a32488e63d5a0cbee39bd607b216533a5c65230f2c7b798897839bbd5567b,55.30864367283951,47.19198842592593,8.11665524691358
100,21935beb109d150761cb0302198503288d1cd605b2f533eb1df1ce6d7a3ea65b,56.66772685185186,49.25220015432098,7.415526697530879
101,b507fbd36d34cbda7dca49fea7fdef565af0e0e9c32c24c600b563b8f7c3880a,56.98657283950618,49.47394552469136,7.5126273148148215
102,c1561c0059738bac3e4e49faefe4c615c5793100bea3f97bb94d67317adfd286,57.083606172839495,49.22844382716049,7.855162345679005
103,b7fcd364a44fa7dfec36aebdc801690f64b7902a4aab29c89f6f34f5af0aa401,56.79919645061728,49.39853580246914,7.40066064814814
104,083e7a547685a58341ad92b1d443c1411b9987e69c43b4435746b620861b9559,56.49953827160493,49.59590154320988,6.903636728395057
105,1457e3df930267907b1abc4d0d9ed5454643025c4bceb2bf06cae93d45281e80,55.31382052469135,47.924544598765436,7.389275925925915
106,a07fde67cb67f88644f1072311109124de0a6706f1fac25e6cb9d9093b4207df,54.81924706790123,46.813301851851854,8.005945216049376
107,2c5b2b18e906dc347f2e41a680439e53fbfb8ad53ff06cebbcc807eb58397099,54.30084675925927,46.68111481481482,7.619731944444453
108,a66d44f4cbaaaeffc81f3d3be5fe950607376ef94d60e72525fa1f23cac8141b,55.61878024691357,48.299533796296295,7.319246450617278
109,ff4869ca9b6f6188b19e2488edcdd97b399ed5dd0c4f05162dd1937c01495c71,57.46362345679012,50.09084537037037,7.37277808641975
110,98faeae436717758c5a75274ff4dda65240d50d8e9d11f40d40bf66ec6d0641d,55.670242283950614,48.5362912037037,7.133951080246916
111,2fcc11b9284c098dfc0e61fcbc3d705c2e55aa4fdeb1ee5233753ab03883e38c,56.206333024691354,49.69029969135802,6.516033333333333
112,163a7915fbea4dd643bbc8734475c36586c67cdc9e3fe263640e014d8012b291,54.98490308641975,47.10186620370371,7.883036882716041
113,3b1d4f2f67356da2aadf1d9876b1bc2bc0f2f3472e92665ad24597588d2b8bad,55.20732746913579,47.60207916666666,7.605248302469128
114,d7a216bd4ded7a3748b4a876c9dd8b6f59821bfdb53791689436d92721d77871,55.133451080246914,47.4065424382716,7.726908641975314
115,e34cf6a18092172f3f7684dc35fc8d498b83201a9ba3ee9d06bca88e986450ac,55.15624259259258,47.743634722222225,7.412607870370351
116,1f64ab2b04e7a3b3eb3318030f0adf4fcbcc5aae37037acc26cace0012abb3ba,56.5385625,49.67458564814815,6.863976851851845
117,294af5cee58b82551ea826aaf9bd3d85419b5d2a5d766c2cf7d234fb3362a6ad,56.01721234567902,48.8485462962963,7.168666049382722
